trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.4, 'e': 0.29752504402309965}",20,6,13.158726997070396,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.4, 'e': 0.27166682716342494}",30,12,-58.99046992731898,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
44,False,"{'a': 0.4, 'e': 0.2469358412144}",25,6,-0.18782465835924733,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.4, 'e': 0.2234156130473492}",30,23,13.276241357122828,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.4, 'e': 0.2011739413888325}",20,9,-25.372267941215902,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.4, 'e': 0.180262412618517}",25,16,7.316398030085846,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.4, 'e': 0.16071625064425127}",20,10,9.250475893902971,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.14255449832957373}",20,2,10.201835557263632,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.4, 'e': 0.12578051801886458}",20,9,-15.880808554508533,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
51,False,"{'a': 0.4, 'e': 0.11038278923889337}",20,4,10.034937155218127,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.4, 'e': 0.09633597304686273}",25,12,25.803433908913128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.4, 'e': 0.0836022051029766}",25,7,21.98819273365894,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.4, 'e': 0.07213257367347345}",30,4,32.42211955500637,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.4, 'e': 0.06186873464885381}",25,11,14.34551181468935,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.4, 'e': 0.05274461343694047}",25,5,23.72876342456549,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.04468814331287472}",25,20,9.848248711708656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,16,17.609855461491353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.313591834777892,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,13,14.308952821983818,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,17,11.141750245983745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,10,17.007885391433323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,14,18.990516261300968,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,22.383147149819962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,16.06323669094569,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,21,18.0595869425327,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,12,14.371090497780596,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
